make,model,year,driveTrain,cylinders,engineTorque,engineType,interiorColor,exteriorColor,horsepower,mileage,mpgHighway,mpgCity,state,transmission,vehicleSize,types,basePrice,body
Ram,1500,2016,2WD,6,410,Gas,Brown,Brown,395,51066,25,17,Oklahoma,Automatic,,Pickup Trucks,29998.0,4D Crew Cab
Mitsubishi,Eclipse Cross,2018,4WD,4,184,Turbo Gas,Black,Red,152,9560,26,25,Oklahoma,Automatic,Compact,"Crossovers,Sport Utilities",23998.0,4D Sport Utility
Volkswagen,Golf,2017,2WD,4,199,Turbo Gas,Black,White,170,41520,35,25,Oklahoma,Automatic,Compact,Sedans,19998.0,4D Hatchback
Lexus,RX 350,2017,2WD,6,267,Gas,Tan,Silver,295,106852,27,20,Texas,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",26998.0,4D Sport Utility
Nissan,Frontier,2012,4WD,6,,,Black,White,,57087,,,Texas,Automatic,Compact,Pickup Trucks,26998.0,4D Crew Cab
Mercedes-Benz,S560,2018,2WD,8,516,Turbo Gas,Tan,Brown,463,46414,27,17,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",63998.0,4D Sedan
Nissan,370Z,2011,2WD,6,270,Gas,Black,Silver,332,41565,26,19,Texas,Automatic,Compact,"Coupes,Sports Cars",24998.0,2D Coupe
Acura,MDX,2012,4WD,6,270,Gas,Gray,Gray,300,93405,21,16,Texas,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",20998.0,4D Sport Utility
Ford,F150,2017,4WD,6,510,Turbo Gas,Black,Silver,450,25920,18,15,Texas,Automatic,Full-size,Pickup Trucks,63998.0,4D Crew Cab
Chevrolet,Silverado 1500,2014,2WD,8,383,Gas,Black,Brown,355,94994,24,18,Texas,Automatic,Full-size,Pickup Trucks,27998.0,4D Extended Cab
Chevrolet,Impala,2014,2WD,6,264,Gas,Black,White,305,95441,29,19,Texas,Automatic,Full-size,Sedans,16998.0,4D Sedan
Lexus,UX 200,2021,2WD,4,,,Red,Black,,4302,,,Texas,Automatic,,Sport Utilities,38998.0,4D Sport Utility
Kia,Stinger,2019,2WD,4,260,Turbo Gas,Black,Blue,255,47288,29,22,Texas,Automatic,,Sedans,29998.0,4D Hatchback
Volvo,XC60,2017,2WD,4,,,Black,Silver,,58694,,,Texas,Automatic,Compact,Sport Utilities,24998.0,4D Sport Utility
BMW,330,2018,2WD,4,258,Turbo Gas,Tan,Gray,248,34010,34,24,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",28998.0,4D Sedan
Ram,1500,2017,2WD,8,410,Gas,Black,Red,395,111926,25,17,Louisiana,Automatic,,Pickup Trucks,26998.0,4D Crew Cab
Toyota,Sequoia,2017,2WD,8,401,Gas,Gray,White,381,83898,17,13,Louisiana,Automatic,Full-size,Sport Utilities,32998.0,4D Sport Utility
Chevrolet,Corvette,2014,2WD,8,460,Gas,Red,Red,455,52220,29,17,Louisiana,Automatic,Compact,"Coupes,Sports Cars",45998.0,2D Coupe
Chevrolet,Traverse,2021,2WD,6,,,Black,White,,11599,,,Louisiana,Automatic,Mid-size,Sport Utilities,35998.0,4D Sport Utility
Mitsubishi,Outlander Sport,2015,2WD,4,145,Gas,Black,Silver,148,79841,32,25,Oklahoma,Automatic,Mid-size,"Crossovers,Sport Utilities",15998.0,4D Sport Utility
Jeep,Grand Cherokee,2016,4WD,6,260,Gas,Black,Black,293,55718,25,18,Oklahoma,Automatic,Mid-size,Sport Utilities,29998.0,4D Sport Utility
Ram,1500,2021,4WD,8,410,Gas,Black,White,395,8512,,,Oklahoma,Automatic,,Pickup Trucks,64998.0,4D Crew Cab
Jeep,Compass,2018,4WD,4,175,Gas,Black,Black,180,16319,30,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",27998.0,4D Sport Utility
Lexus,GX 460,2016,4WD,8,329,Gas,Tan,Brown,301,50760,20,15,Texas,Automatic,Mid-size,"Luxury Vehicles,Sport Utilities",38998.0,4D Sport Utility
Honda,CR-V,2020,2WD,4,179,Turbo Gas,Tan,White,190,10955,,,Texas,Automatic,Compact,"Crossovers,Sport Utilities",27998.0,4D Sport Utility
Toyota,Highlander,2018,2WD,6,263,Gas,Black,Gray,295,56178,27,21,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",32998.0,4D Sport Utility
Audi,TT,2016,4WD,4,258,Turbo Gas,Black,Silver,220,34507,30,23,Texas,Automatic,Compact,"Luxury Vehicles,Coupes",34998.0,2D Coupe
Ram,1500 Classic,2019,2WD,8,410,Gas,Gray,White,395,17843,25,17,Texas,Automatic,,Pickup Trucks,31998.0,4D Extended Cab
Honda,Civic,2018,2WD,4,192,Turbo Gas,Black,Red,205,44404,38,28,Texas,Manual 6 Speed,Compact,Sedans,25998.0,4D Sedan
Chevrolet,Sonic,2020,2WD,4,148,Turbo Gas,Black,White,138,5166,34,26,Texas,Automatic,Compact,"Sedans,Wagons",20998.0,4D Hatchback
Hyundai,Santa Fe Sport,2015,2WD,4,269,Turbo Gas,Gray,White,264,74265,27,19,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",20998.0,4D Sport Utility
Audi,Q5,2019,4WD,4,273,Turbo Gas,White,White,248,10195,27,22,Texas,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",38998.0,4D Sport Utility
Nissan,Versa,2019,2WD,4,107,Gas,Black,Red,109,56095,39,31,Texas,Automatic,Compact,Sedans,16998.0,4D Sedan
Honda,CR-V,2016,2WD,4,181,Gas,Gray,White,185,83133,33,26,Texas,Automatic,Compact,"Crossovers,Sport Utilities",18998.0,4D Sport Utility
Ford,F150,2018,2WD,6,400,Turbo Gas,Black,Gray,325,63213,26,20,Texas,Automatic,Full-size,Pickup Trucks,32998.0,4D Crew Cab
Chevrolet,Malibu,2020,2WD,4,184,Turbo Gas,Black,Silver,160,29308,36,29,Texas,Automatic,Mid-size,Sedans,22998.0,4D Sedan
Nissan,Armada,2018,2WD,8,,,Black,Gray,,32359,,,Texas,Automatic,Full-size,Sport Utilities,45998.0,4D Sport Utility
Toyota,Corolla iM,2017,2WD,4,126,Gas,Black,Blue,137,73542,36,28,Texas,Automatic,,Sedans,17998.0,4D Hatchback
Ford,Mustang,2018,2WD,8,420,Gas,Black,Gray,460,39699,,,Texas,Automatic,Mid-size,"Convertibles,Coupes,Sports Cars",34998.0,2D Convertible
Toyota,Camry,2015,2WD,4,170,Gas,Tan,Black,178,21953,35,25,Texas,Automatic,Mid-size,Sedans,22998.0,4D Sedan
Lincoln,Nautilus,2020,2WD,4,280,Turbo Gas,Black,Silver,250,11389,26,21,Texas,Automatic,,Sport Utilities,39998.0,4D Sport Utility
Jeep,Patriot,2014,2WD,4,141,Gas,Black,Gray,158,47702,30,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",15998.0,4D Sport Utility
Hyundai,Veloster,2013,2WD,4,120,Gas,Black,Gray,132,68058,37,28,Texas,Automatic,Compact,,15998.0,3D Hatchback
Nissan,Rogue,2019,2WD,4,175,Gas,Black,Blue,170,31801,33,26,Texas,Automatic,Compact,"Crossovers,Sport Utilities",25998.0,4D Sport Utility
Chevrolet,Camaro,2018,2WD,8,455,Gas,Brown,Red,455,15740,25,16,Oklahoma,Automatic,Mid-size,"Coupes,Sports Cars",43998.0,2D Coupe
Toyota,Tundra,2018,4WD,8,401,Gas,Black,Silver,381,77451,17,13,Oklahoma,Automatic,Full-size,Pickup Trucks,39998.0,4D Crew Cab
Chevrolet,Corvette,2015,2WD,8,460,Gas,Black,Black,455,48272,29,17,Oklahoma,Automatic,Compact,"Coupes,Sports Cars",47998.0,2D Coupe
Nissan,Titan,2017,2WD,8,394,Gas,Black,Silver,390,55564,21,15,Oklahoma,Automatic,Full-size,Pickup Trucks,28998.0,4D Crew Cab
Chrysler,300,2016,4WD,6,264,Gas,Black,Black,300,51790,27,18,Oklahoma,Automatic,Full-size,Sedans,25998.0,4D Sedan
Jeep,Wrangler,2015,4WD,6,260,Gas,Brown,White,285,55722,21,16,Texas,Automatic,Compact,Sport Utilities,37998.0,4D Sport Utility
Ram,1500,2016,2WD,8,410,Gas,Brown,White,395,82434,22,15,Texas,Automatic,,Pickup Trucks,33998.0,4D Crew Cab
Ram,1500,2015,4WD,8,410,Gas,Black,White,395,62073,21,15,Texas,Automatic,,Pickup Trucks,35998.0,4D Crew Cab
Cadillac,SRX,2016,2WD,6,265,Gas,Black,White,308,45956,24,17,Texas,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",25998.0,4D Sport Utility
Ford,Fusion,2020,2WD,4,185,Turbo Gas,Black,White,181,43959,34,23,Texas,Automatic,Mid-size,Sedans,22998.0,4D Sedan
GMC,Yukon,2015,2WD,8,460,Gas,Gray,White,420,51869,22,15,Texas,Automatic,Full-size,Sport Utilities,44998.0,4D Sport Utility
Infiniti,QX80,2015,2WD,8,413,Gas,Black,Silver,400,106973,20,14,Texas,Automatic,Full-size,Sport Utilities,32998.0,4D Sport Utility
Nissan,Armada,2018,2WD,8,,,Black,Gray,,24346,,,Texas,Automatic,Full-size,Sport Utilities,46998.0,4D Sport Utility
Ford,F150,2015,4WD,8,387,Gas,Tan,White,385,102739,21,15,Texas,Automatic,Full-size,Pickup Trucks,36998.0,4D Crew Cab
Jeep,Wrangler,2016,4WD,6,,Gas,Black,Red,,15839,,,Texas,Automatic,Compact,Sport Utilities,34998.0,2D Sport Utility
Toyota,Camry Hybrid,2014,2WD,4,156,Hybrid,Gray,White,200,59416,38,40,Texas,Automatic,Mid-size,"Sedans,Hybrids",18998.0,4D Sedan
Ford,F150,2020,2WD,8,400,Gas,Gray,Black,395,34976,,20,Texas,Automatic,Full-size,Pickup Trucks,34998.0,4D Crew Cab
Jeep,Grand Cherokee,2017,4WD,6,260,Gas,Black,Gray,293,60962,25,18,Texas,Automatic,Mid-size,Sport Utilities,29998.0,4D Sport Utility
Chevrolet,Silverado 1500,2016,2WD,8,,,Tan,White,,63340,,,Texas,Automatic,Full-size,Pickup Trucks,34998.0,4D Crew Cab
Kia,Soul,2019,2WD,4,150,Gas,Gray,Silver,161,33554,30,25,Oklahoma,Automatic,Compact,"Sport Utilities,Wagons",18998.0,4D Wagon
Hyundai,Tucson,2016,2WD,4,195,Turbo Gas,Gray,Black,175,48778,33,26,Oklahoma,Automatic,Compact,"Crossovers,Sport Utilities",20998.0,4D Sport Utility
Ford,Escape,2011,2WD,6,223,Gas,Tan,Black,240,85419,28,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",15998.0,4D Sport Utility
Toyota,Camry Hybrid,2021,2WD,4,163,Hybrid,Red,White,208,8662,,,Texas,Automatic,Mid-size,"Sedans,Hybrids",36998.0,4D Sedan
Kia,Stinger,2018,4WD,6,376,Turbo Gas,Red,Black,365,10887,25,17,Texas,Automatic,,Sedans,40998.0,4D Hatchback
GMC,Sierra 1500,2018,4WD,8,383,Gas,Black,White,355,27468,22,16,Texas,Automatic,Full-size,Pickup Trucks,43998.0,4D Crew Cab
Acura,MDX,2020,2WD,6,267,Gas,Black,Gray,290,23109,27,20,Texas,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",36998.0,4D Sport Utility
Mazda,CX-9,2018,2WD,4,310,Turbo Gas,Black,Silver,227,45116,28,22,Texas,Automatic,Full-size,"Crossovers,Sport Utilities",25998.0,4D Sport Utility
Jeep,Wrangler,2018,4WD,6,295,Gas,Gray,Gray,270,25215,23,17,Texas,Automatic,Compact,Sport Utilities,38998.0,4D Sport Utility
Mitsubishi,Outlander,2020,4WD,4,162,Gas,Black,White,166,48946,,,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",23998.0,4D Sport Utility
Dodge,Challenger,2019,2WD,8,,,Black,Blue,,7621,,,Louisiana,Manual 6 Speed,Compact,Coupes,36998.0,2D Coupe
Dodge,Journey,2016,2WD,4,166,Gas,Black,Gray,173,57362,26,19,Louisiana,Automatic,Mid-size,Sport Utilities,17998.0,4D Sport Utility
Ford,Explorer,2021,2WD,4,,,Tan,Gray,,10211,,,Louisiana,Automatic,Mid-size,Sport Utilities,42998.0,4D Sport Utility
Toyota,Tacoma,2021,4WD,6,,,Black,Red,,2255,,,Oklahoma,Automatic,Mid-size,Pickup Trucks,48998.0,4D Crew Cab
Buick,Enclave,2013,2WD,6,270,Gas,Gray,Silver,288,55921,24,17,Oklahoma,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",23998.0,4D Sport Utility
Ford,Taurus,2014,2WD,4,270,Turbo Gas,Black,Gray,240,69376,29,19,Oklahoma,Automatic,Mid-size,Sedans,17998.0,4D Sedan
Mitsubishi,Outlander Sport,2016,2WD,4,145,Gas,Black,Silver,148,21971,30,24,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",20998.0,4D Sport Utility
Toyota,Camry Hybrid,2016,2WD,4,156,Hybrid,Black,Tan,200,42375,39,43,Texas,Automatic,Mid-size,"Sedans,Hybrids",20998.0,4D Sedan
Subaru,Forester,2021,4WD,4,176,Gas,Gray,White,182,5481,33,26,Texas,Automatic,Mid-size,Sport Utilities,30998.0,4D Sport Utility
Toyota,RAV4,2020,2WD,4,184,Gas,Black,White,203,10352,35,,Texas,Automatic,Compact,"Crossovers,Sport Utilities",35998.0,4D Sport Utility
Honda,CR-V,2016,4WD,4,181,Gas,Black,Red,185,88510,31,25,Texas,Automatic,Compact,"Crossovers,Sport Utilities",22998.0,4D Sport Utility
Ford,Explorer,2018,2WD,6,255,Gas,Gray,Red,290,9962,24,17,Texas,Automatic,Mid-size,Sport Utilities,32998.0,4D Sport Utility
Lincoln,Nautilus,2019,2WD,6,380,Turbo Gas,Gray,Tan,335,23075,26,21,Texas,Automatic,,Sport Utilities,44998.0,4D Sport Utility
Lexus,GX 460,2017,4WD,8,329,Gas,Gray,Black,301,42139,18,15,Texas,Automatic,Mid-size,"Luxury Vehicles,Sport Utilities",40998.0,4D Sport Utility
Ford,Explorer,2017,2WD,6,255,Gas,Gray,Black,290,23283,24,17,Texas,Automatic,Mid-size,Sport Utilities,31998.0,4D Sport Utility
Lexus,IS 350,2017,4WD,,277,Gas,,Black,306,33363,26,19,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",32998.0,4D Sedan
Kia,Stinger,2019,2WD,4,260,Turbo Gas,Black,White,255,57093,29,22,Texas,Automatic,,Sedans,29998.0,4D Hatchback
Lexus,CT 200h,2015,2WD,4,105,Hybrid,Tan,Silver,134,37965,40,43,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans,Hybrids",22998.0,4D Hatchback
Infiniti,QX60,2017,2WD,6,270,Gas,Black,Blue,295,33499,27,20,Texas,Automatic,Mid-size,"Luxury Vehicles,Sport Utilities",33998.0,4D Sport Utility
Toyota,Sienna,2017,2WD,6,263,Gas,Gray,White,296,61844,27,19,Oklahoma,Automatic,Mid-size,Minivans and Vans,30998.0,4D Pass Van
Ram,1500,2021,4WD,8,410,Gas,Tan,Red,395,792,,,Oklahoma,Automatic,,Pickup Trucks,66998.0,4D Crew Cab
Honda,CR-V,2016,2WD,4,181,Gas,Black,Black,185,59081,33,26,Oklahoma,Automatic,Compact,"Crossovers,Sport Utilities",22998.0,4D Sport Utility
Nissan,Altima,2021,2WD,4,180,Gas,Black,Gray,188,9033,,,Texas,Automatic,Mid-size,Sedans,28998.0,4D Sedan
Jeep,Cherokee,2019,2WD,4,295,Turbo Gas,Black,White,270,40081,31,22,Texas,Automatic,Mid-size,Sport Utilities,23998.0,4D Sport Utility
Ford,Expedition EL,2017,2WD,6,420,Turbo Gas,Black,Gold,365,62512,20,15,Texas,Automatic,Full-size,Sport Utilities,38998.0,4D Sport Utility
Ford,F150,2017,4WD,6,470,Turbo Gas,Black,White,375,80677,21,15,Texas,Automatic,Full-size,Pickup Trucks,38998.0,4D Crew Cab
Chevrolet,Equinox,2016,2WD,4,172,Gas,Black,Red,182,56500,32,22,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",20998.0,4D Sport Utility
Ford,Mustang,2018,2WD,4,350,Turbo Gas,Black,Black,310,22465,,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",26998.0,2D Coupe
Honda,Pilot,2021,4WD,6,,,Black,White,,226,,,Texas,Automatic,Mid-size,Sport Utilities,42998.0,4D Sport Utility
Toyota,Prius,2014,2WD,4,105,Hybrid,Gray,Red,134,62352,48,51,Texas,Automatic,Compact,"Sedans,Hybrids",17998.0,4D Hatchback
Ford,Expedition,2020,2WD,6,470,Turbo Gas,Black,Silver,375,22340,23,,Texas,Automatic,Full-size,Sport Utilities,53998.0,4D Sport Utility
Subaru,Forester,2015,4WD,4,174,Gas,Gray,White,170,79890,32,24,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",19998.0,4D Sport Utility
Chevrolet,Tahoe,2013,2WD,8,335,Gas,Black,Black,320,81597,21,15,Texas,Automatic,Full-size,Sport Utilities,27998.0,4D Sport Utility
Kia,Sportage,2018,2WD,4,175,Gas,Black,White,181,76915,30,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",17998.0,4D Sport Utility
Lincoln,MKX,2016,4WD,6,278,Gas,Tan,Blue,303,30152,23,16,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",29998.0,4D Sport Utility
Hyundai,Tucson,2017,4WD,4,151,Gas,Black,Orange,164,51179,26,21,Texas,Automatic,Compact,"Crossovers,Sport Utilities",19998.0,4D Sport Utility
Ford,Explorer,2017,2WD,4,310,Turbo Gas,Black,White,280,45765,27,19,Texas,Automatic,Mid-size,Sport Utilities,30998.0,4D Sport Utility
Toyota,Highlander,2018,2WD,6,263,Gas,Gray,White,295,24109,27,21,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",33998.0,4D Sport Utility
Hyundai,Tucson,2019,2WD,4,175,Gas,Black,Red,181,5937,28,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",30998.0,4D Sport Utility
Kia,Telluride,2020,4WD,6,262,Gas,Black,Red,291,5797,24,19,Louisiana,Automatic,,Sport Utilities,47998.0,4D Sport Utility
Ford,Edge,2014,2WD,6,,,Gray,Gray,,24721,,,Louisiana,Automatic,Mid-size,Sport Utilities,21998.0,4D Sport Utility
Jeep,Grand Cherokee,2019,2WD,6,260,Gas,Black,White,293,26315,26,19,Louisiana,Automatic,Mid-size,Sport Utilities,32998.0,4D Sport Utility
Toyota,Camry,2019,2WD,4,186,Gas,Black,Silver,206,27804,39,28,Louisiana,Automatic,Mid-size,Sedans,28998.0,4D Sedan
Chevrolet,Silverado 1500,2018,2WD,8,383,Gas,Black,Silver,355,21486,23,16,Oklahoma,Automatic,Full-size,Pickup Trucks,37998.0,4D Crew Cab
Mercedes-Benz,GLE43 AMG Coupe,2019,4WD,6,384,Turbo Gas,Black,Black,385,24863,22,17,Oklahoma,Automatic,,Sport Utilities,66998.0,4D Sport Utility
Honda,Pilot,2018,4WD,6,262,Gas,Gray,Blue,280,36176,26,18,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",28998.0,4D Sport Utility
Lexus,IS 200t,2016,2WD,4,258,Turbo Gas,Black,White,241,50753,33,22,Texas,Automatic,,Sedans,27998.0,4D Sedan
Volkswagen,Golf,2011,2WD,5,,Gas,Black,White,,55020,,,Texas,Automatic,Compact,Sedans,13998.0,4D Hatchback
Ford,Explorer,2021,2WD,4,,,Tan,White,,10051,,,Texas,Automatic,Mid-size,Sport Utilities,41998.0,4D Sport Utility
Jeep,Grand Cherokee,2017,2WD,6,,,Black,White,,55431,,,Texas,Automatic,Mid-size,Sport Utilities,27998.0,4D Sport Utility
Ford,Edge,2017,2WD,6,250,Gas,Black,Gold,280,57530,29,20,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",24998.0,4D Sport Utility
GMC,Sierra 1500,2017,2WD,8,,,Black,Red,,49552,,,Texas,Automatic,Full-size,Pickup Trucks,33998.0,4D Extended Cab
Ford,Mustang,2014,2WD,8,390,Gas,Black,White,420,46891,26,15,Texas,Automatic,Mid-size,"Coupes,Sports Cars",29998.0,2D Coupe
Mitsubishi,Lancer,2016,2WD,4,145,Gas,Black,Red,148,58530,35,27,Texas,Automatic,Compact,Sedans,16998.0,4D Sedan
Land Rover,Range Rover Evoque,2017,4WD,4,250,Turbo Gas,Black,Black,240,54429,29,21,Texas,Automatic,Compact,"Luxury Vehicles,Sport Utilities",31998.0,4D Sport Utility
Subaru,WRX,2019,4WD,4,258,Turbo Gas,Black,Black,268,15936,24,18,Texas,Automatic,,Sedans,30998.0,4D Sedan
Lexus,ES 350,2015,2WD,6,248,Gas,Gray,Gray,268,48167,31,21,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",26998.0,4D Sedan
Lexus,GS 350,2018,2WD,6,280,Gas,Black,Silver,311,21334,28,20,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",38998.0,4D Sedan
Ford,Escape,2014,2WD,4,184,Turbo Gas,Gray,Red,173,64277,32,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",18998.0,4D Sport Utility
Nissan,Altima,2019,2WD,4,178,Gas,Black,Gray,182,58507,37,27,Texas,Automatic,Mid-size,Sedans,22998.0,4D Sedan
Ford,Fiesta,2019,2WD,4,112,Gas,Black,Gray,120,47930,35,27,Texas,Automatic,Compact,Sedans,15998.0,4D Sedan
Toyota,Yaris iA,2017,2WD,4,103,Gas,Black,Red,106,6352,40,32,Texas,Automatic,,Sedans,19998.0,4D Sedan
Toyota,Highlander,2019,2WD,6,263,Gas,Gray,Blue,295,11231,27,21,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",39998.0,4D Sport Utility
Hyundai,Kona,2019,2WD,4,,,Black,Red,,39738,,,Texas,Automatic,,Sport Utilities,19998.0,4D Sport Utility
Ford,F150,2020,4WD,6,510,Turbo Gas,Black,Gray,450,18328,18,,Texas,Automatic,Full-size,Pickup Trucks,69998.0,4D Crew Cab
Subaru,BRZ,2017,2WD,4,156,Gas,Black,Silver,205,32152,29,21,Texas,Manual 6 Speed,Compact,Coupes,25998.0,2D Coupe
Ford,F150,2018,4WD,6,470,Turbo Gas,Gray,Black,375,29476,22,16,Texas,Automatic,Full-size,Pickup Trucks,39998.0,4D Crew Cab
Toyota,Tacoma,2019,4WD,6,265,Gas,Black,Blue,278,17116,22,18,Texas,Automatic,Mid-size,Pickup Trucks,48998.0,4D Crew Cab
Honda,CR-V,2016,2WD,4,,,Gray,Silver,,70629,,,Texas,Automatic,Compact,Sport Utilities,21998.0,4D Sport Utility
Buick,Enclave,2016,2WD,6,270,Gas,Gray,Brown,288,59418,22,15,Texas,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",25998.0,4D Sport Utility
Toyota,4Runner,2016,2WD,6,278,Gas,Black,Silver,270,56061,22,17,Texas,Automatic,Mid-size,Sport Utilities,30998.0,4D Sport Utility
Jeep,Wrangler,2018,4WD,6,260,Gas,Black,Black,285,21013,25,17,Texas,Automatic,Compact,Sport Utilities,34998.0,2D Sport Utility
BMW,M2,2017,2WD,6,343,Turbo Gas,Black,White,365,45670,26,18,Texas,Manual 6 Speed,Full-size,"Luxury Vehicles,Coupes,Sports Cars",44998.0,2D Coupe
Dodge,Challenger,2019,2WD,6,268,Gas,Black,Black,305,58368,30,19,Texas,Automatic,Compact,"Coupes,Sports Cars",26998.0,2D Coupe
Infiniti,G37,2012,2WD,6,269,Gas,Black,Gray,328,109007,27,19,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",15998.0,4D Sedan
GMC,Sierra 1500,2012,4WD,8,417,Gas,Tan,White,403,104466,18,12,Texas,Automatic,Full-size,Pickup Trucks,31998.0,4D Crew Cab
Dodge,Charger,2016,2WD,8,395,Gas,White,White,370,73924,25,16,Texas,Automatic,Full-size,Sedans,30998.0,4D Sedan
Ford,Fusion,2018,2WD,4,175,Gas,Gray,White,175,49325,32,21,Texas,Automatic,Mid-size,Sedans,18998.0,4D Sedan
Ford,Escape,2017,2WD,4,170,Gas,Gray,Gold,168,47415,29,21,Texas,Automatic,Compact,"Crossovers,Sport Utilities",18998.0,4D Sport Utility
Toyota,RAV4,2017,2WD,4,172,Gas,Black,Silver,176,45868,30,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",22998.0,4D Sport Utility
Volkswagen,Tiguan,2016,2WD,4,207,Turbo Gas,Black,Gray,200,59344,26,21,Texas,Automatic,Compact,"Luxury Vehicles,Sport Utilities",17998.0,4D Sport Utility
Ram,1500,2018,2WD,6,269,Gas,Black,Blue,305,41653,25,17,Texas,Automatic,,Pickup Trucks,32998.0,4D Crew Cab
Nissan,Rogue,2016,4WD,4,175,Gas,Black,White,170,33689,32,25,Louisiana,Automatic,Compact,"Crossovers,Sport Utilities",23998.0,4D Sport Utility
Subaru,Forester,2020,4WD,4,176,Gas,Black,Silver,182,5857,33,26,Louisiana,Automatic,Mid-size,"Crossovers,Sport Utilities",35998.0,4D Sport Utility
Subaru,Outback,2019,4WD,4,174,Gas,Tan,Red,175,22030,32,25,Louisiana,Automatic,Mid-size,"Sport Utilities,Wagons",31998.0,4D Wagon
Chrysler,Pacifica,2018,2WD,6,262,Gas,Black,Tan,287,24532,28,19,Louisiana,Automatic,Mid-size,Minivans and Vans,35998.0,4D Pass Van
Infiniti,QX60,2017,4WD,6,270,Gas,Black,Silver,295,49181,26,19,Louisiana,Automatic,Mid-size,"Luxury Vehicles,Sport Utilities",32998.0,4D Sport Utility
Ford,Escape,2018,2WD,4,177,Turbo Gas,Gray,White,179,28125,30,23,Louisiana,Automatic,Compact,"Crossovers,Sport Utilities",24998.0,4D Sport Utility
Buick,Encore,2019,2WD,4,148,Turbo Gas,Black,White,138,12020,30,25,Louisiana,Automatic,Compact,"Crossovers,Luxury Vehicles,Sport Utilities",21998.0,4D Sport Utility
Ford,Explorer,2016,4WD,6,255,Gas,Black,Gray,290,100493,23,16,Oklahoma,Automatic,Mid-size,Sport Utilities,23998.0,4D Sport Utility
GMC,Terrain,2018,2WD,4,203,Turbo Gas,Black,Gray,170,57450,30,26,Oklahoma,Automatic,Compact,"Crossovers,Sport Utilities",24998.0,4D Sport Utility
Kia,Soul,2020,2WD,4,132,Gas,Gray,White,147,9084,33,27,Texas,Automatic,Compact,"Sport Utilities,Wagons",23998.0,4D Wagon
Jeep,Renegade,2017,4WD,4,175,Gas,Black,Gray,180,29439,29,21,Texas,Automatic,,"Crossovers,Sport Utilities",24998.0,4D Sport Utility
Honda,Civic,2018,2WD,4,138,Gas,Black,Blue,158,19147,40,31,Texas,Automatic,Compact,Sedans,21998.0,4D Sedan
Mini,Cooper Hardtop,2015,2WD,4,,,Black,Orange,,50302,,,Texas,Automatic,Compact,,18998.0,2D Hatchback
Chevrolet,Camaro,2018,2WD,6,284,Gas,Black,White,335,21505,31,22,Texas,Automatic,Mid-size,"Coupes,Sports Cars",29998.0,2D Coupe
Ford,F150,2018,4WD,6,470,Turbo Gas,Black,Gray,375,91513,22,16,Texas,Automatic,Full-size,Pickup Trucks,34998.0,4D Crew Cab
Toyota,Camry,2017,2WD,6,248,Gas,Gray,Red,268,59721,30,21,Texas,Automatic,Mid-size,Sedans,24998.0,4D Sedan
Dodge,Journey,2017,2WD,4,166,Gas,Tan,White,173,53397,25,19,Texas,Automatic,Mid-size,Sport Utilities,18998.0,4D Sport Utility
Toyota,Yaris iA,2018,2WD,4,103,Gas,Black,Red,106,55046,40,32,Texas,Automatic,,Sedans,15998.0,4D Sedan
Subaru,WRX,2020,4WD,4,258,Turbo Gas,Black,Gray,268,9936,27,21,Texas,Manual 6 Speed,,Sedans,28998.0,4D Sedan
